id,idiom,trap_words,gold
t0177,pass the buck,बक्सा|पास,ग्वेंट मजिस्ट्रेट समिति के अध्यक्ष रॉस गॉफ ने वेल्श कार्यालय पर ज़िम्मेदारी टालने की कोशिश करने का आरोप लगाया।
t0178,out of the woods,लकड़ी|वन,तुम अभी पूरी तरह खतरे से बाहर नहीं निकले हो।
t0179,jump on the bandwagon,बैंडवागन|कूदना,सम्मेलन आयोजकों ने भी इस बढ़ते चलन का लाभ उठाने में देर नहीं की।
t0180,jump on the bandwagon,बैंडवागन|कूदना,"यहाँ तक कि MTV भी इस चलन में शामिल हो गया और The Real World नामक कार्यक्रम शुरू किया, जिसमें सोहो के एक लॉफ्ट में साथ रहने वाले सात युवाओं के जीवन को दिखाया गया।"
t0181,pull the plug,प्लग|खींचें,बैंक द्वारा वित्तीय सहायता बंद किए जाने पर कला की बिक्री प्रभावित हुई।
t0182,out of the blue,नीला,इसके बाद लोग अपने लक्षणों के अचानक शुरू होने का वर्णन कर सकते हैं।
t0183,sit on the fence,बाड़|बैठो,"यदि इस विश्वकोश की कोई कमी है, तो वह यह है कि यह विवादास्पद मुद्दों पर तटस्थ बना रहता है।"
t0184,over the moon,चंद्रमा,"मेरा मतलब है, अगर वे बच्चे वहाँ जाते, तो उनकी खुशी का ठिकाना नहीं रहता।"
t0185,spill the beans,बीन|दाल|बहाना,मैं यह राज़ नहीं खोल सकता।
t0186,pay through the nose,नाक|वेतन|पार,बाकी पूरी सुबह कार छुड़ाने और उसके लिए भारी कीमत चुकाने में बर्बाद हो गई।
t0187,throw caution to the wind,सावधानी|फेंकना|हवा,सेल्विन के चाय पर आने से पहले उसने जोखिम उठाने का फैसला कर लिया।
t0188,pass the buck,बक्सा|पास,हमेशा ज़िम्मेदारी किसी और पर डाल दो।
t0189,pass the buck,बक्सा|पास,इंग्लिश हेरिटेज ने संरक्षण की ज़िम्मेदारी दूसरे पर डाल दी।
t0190,over the moon,चंद्रमा,अभी-अभी मुझे अपने कॉलेज की घुड़सवारी टीम में जगह मिली है और मैं इस अवसर से बेहद खुश हूँ।
t0191,spill the beans,बीन|दाल|बहाना,क्या बूढ़े फर्ग ने पहाड़ियों में कोई राज़ खोल दिया?
t0192,off the hook,हुक,"परिवार में अक्सर एक बच्चे को शरारती का नाम दे दिया जाता है, जिससे बाकी बच्चों की ज़िम्मेदारी कम हो जाती है।"
t0193,call it a day,कॉल|दिन,लगातार तीन मुश्किल रातों के बाद हमने वहीं रुकने का फैसला किया।
t0194,sit tight,बैठो|सख्त,उसने मुझे अपने पास खींचा और कहा कि धैर्य रखो।
t0195,twist someone's arm,हाथ|झुकना,"सुनो, मैं ज़्यादा देर नहीं रुक सकता, लेकिन मैंने दिमित्री को मना लिया है और वह तुम्हारे लिए **हेड्डा** के दो टिकट का इंतज़ाम कर सकता है।"
t0196,back to the drawing board,पीठ|बोर्ड|चित्र,वे चाहते हैं कि सड़क की योजना पर फिर से शुरू से विचार किया जाए।
t0197,under the weather,मौसम,ऐसे दिन भी आएँगे जब तुम थके हुए या थोड़ा अस्वस्थ महसूस करोगे।
t0198,cut corners,कोने|कटौती,निर्माण स्थल पर काम करने वाले लोगों ने शिकायत की कि परियोजना में हुई देरी की भरपाई के लिए उनसे शॉर्टकट अपनाने का दबाव डाला जा रहा था।
t0199,out of the woods,लकड़ी|वन,संभवतः अब तक वह पूरी तरह खतरे से बाहर आ चुका होगा।
