id,idiom,in_kb,usage,english_source,audio_path,hindi_reference,literal_trap_hi,pred_off,inter_off,pred_substitute,inter_substitute,pred_append,inter_append
t0058,rule of thumb,1,figurative,"Identifying some kinds of pollutants , however , is simply not possible by rule of thumb assessments made on the spot .",audio/t0058.mp3,हालाँकि कुछ प्रकार के प्रदूषकों की पहचान केवल सामान्य अनुमान के आधार पर नहीं की जा सकती।,नियम|अंगूठा,"हालांकि , कुछ प्रकार के प्रदूषकों की पहचान करने के लिए , स्थान पर किए गए औंला के नियम के अनुसार यह संभव नहीं है .","Identifying some kinds of pollutants , however , is simply not possible by rule of thumb assessments made on the spot .","हालांकि , कुछ प्रकार के प्रदूषकों की पहचान करने के लिए जगह पर किए गए कठोर व्यावहारिक मार्गदर्शन मूल्यांकन से संभव नहीं है .","Identifying some kinds of pollutants , however , is simply not possible by a rough practical guideline assessments made on the spot .","हालांकि , कुछ प्रकार के प्रदूषकों की पहचान करने के लिए , बस जगह पर किए गए आकलनों के द्वारा औंला के नियम (एक कठोर व्यावहारिक दिशानिर्देश) संभव नहीं है .","Identifying some kinds of pollutants , however , is simply not possible by rule of thumb (a rough practical guideline) assessments made on the spot ."
t0059,bury the hatchet,1,figurative,‘ We sank the bubbly as well as the hatchet.’,audio/t0059.mp3,"हमने केवल जश्न ही नहीं मनाया, बल्कि पुराने मतभेद भी भुला दिए।",दफन|हत्केला,हमने बुलबुले के साथ ही हैकड भी डूब गए।,‘ We sank the bubbly as well as the hatchet.’,हमने बुलबुले के साथ ही हैकड भी डूब गए।,‘ We sank the bubbly as well as the hatchet.’,हमने बुलबुले के साथ ही हैकड भी डूब गए।,‘ We sank the bubbly as well as the hatchet.’
t0060,make ends meet,1,figurative,"IT MAY be of little comfort to Euro Disney 's shareholders , but all France 's leisure parks are struggling to make ends meet .",audio/t0060.mp3,"यूरो डिज़्नी के शेयरधारकों के लिए यह शायद राहत की बात न हो, लेकिन फ्रांस के लगभग सभी मनोरंजन पार्क गुज़ारा करने के लिए संघर्ष कर रहे हैं।",अंत|बनाने|मिलना,"यूरो डिज्नी के शेयरधारकों के लिए यह बहुत कम आरामदायक हो सकता है , लेकिन फ्रांस के सभी अवकाश पार्क अंतराल तक पहुंचने के लिए संघर्ष कर रहे हैं .","IT MAY be of little comfort to Euro Disney 's shareholders , but all France 's leisure parks are struggling to make ends meet .","यूरो डिज्नी के शेयरधारकों के लिए यह बहुत कम आरामदायक हो सकता है , लेकिन फ्रांस के सभी अवकाश पार्क जीवित रहने के लिए पर्याप्त धन के लिए संघर्ष कर रहे हैं .","IT MAY be of little comfort to Euro Disney 's shareholders , but all France 's leisure parks are struggling to have just enough money to live .","यूरो डिज्नी के शेयरधारकों के लिए यह बहुत कम आरामदायक हो सकता है , लेकिन फ्रांस के सभी अवकाश पार्क जीवन के लिए पर्याप्त धन के साथ संघर्ष कर रहे हैं .","IT MAY be of little comfort to Euro Disney 's shareholders , but all France 's leisure parks are struggling to make ends meet (have just enough money to live) ."
t0061,in hot water,1,figurative,DUCHESS IN DISGRACE : Fergie cools off on the holiday that landed her in hot water,audio/t0061.mp3,"फर्गी उस छुट्टी के बाद मुसीबत में पड़ गई थी, इसलिए अब वह खुद को संभाल रही थी।",गर्म|जल,डचेस इन डिस्प्रेस: फर्गी छुट्टी पर ठंडा हो जाता है जो उसे गर्म पानी में उतारा,DUCHESS IN DISGRACE : Fergie cools off on the holiday that landed her in hot water,डचेस इन डिस्प्रेस: फर्गी छुट्टी पर ठंडा हो जाता है जो उसे गर्म पानी में उतारा,DUCHESS IN DISGRACE : Fergie cools off on the holiday that landed her in hot water,डचेस इन डिस्प्रेस: फर्गी छुट्टी पर ठंडा हो जाता है जो उसे गर्म पानी में उतारा,DUCHESS IN DISGRACE : Fergie cools off on the holiday that landed her in hot water
t0062,bite the bullet,1,figurative,NAM had bitten the bullet .,audio/t0062.mp3,एनएएम ने आखिरकार कठिन निर्णय स्वीकार कर लिया।,काटने|गोली,NAM ने गोली को काट लिया था .,NAM had bitten the bullet .,नैन ने एक दर्दनाक परिस्थिति को बहादुरी से सह लिया था .,NAM had endure a painful situation bravely .,नैन ने गोली काट ली थी (एक दर्दनाक स्थिति को बहादुरी से सहन करें) ।,NAM had bitten the bullet (endure a painful situation bravely) .
t0063,off the hook,1,figurative,Her existence certainly saved him from making decisions : ‘ I 've got to consult my wife’ always let him off the hook and annoyed the independent Jane .,audio/t0063.mp3,"उसकी मौजूदगी ने निश्चित रूप से उसे फैसले लेने से बचा लिया; ""मुझे अपनी पत्नी से पूछना होगा"" कहकर वह हमेशा ज़िम्मेदारी से बच निकलता था।",हुक,उसके अस्तित्व ने निश्चित रूप से उसे निर्णय लेने से बचाया है . मुझे अपनी पत्नी से परामर्श करना है उसे हमेशा हुक से मुक्त करने और स्वतंत्र जेन को परेशान करने के लिए .,Her existence certainly saved him from making decisions : ‘ I 've got to consult my wife’ always let him off the hook and annoyed the independent Jane .,उसके अस्तित्व ने निश्चित रूप से उसे निर्णय लेने से बचाया है . मुझे अपनी पत्नी से परामर्श करना है उसे हमेशा मुसीबतों में नहीं रहने देना चाहिए और स्वतंत्र जेन को परेशान करना चाहिए .,Her existence certainly saved him from making decisions : ‘ I 've got to consult my wife’ always let him no longer in trouble and annoyed the independent Jane .,उसके अस्तित्व ने निश्चित रूप से उसे निर्णय लेने से बचाया है . मुझे अपनी पत्नी से परामर्श करना है उसे हमेशा हुक से बाहर छोड़ देना चाहिए (अब मुसीबत में नहीं) और स्वतंत्र जेन को परेशान करना चाहिए .,Her existence certainly saved him from making decisions : ‘ I 've got to consult my wife’ always let him off the hook (no longer in trouble) and annoyed the independent Jane .
t0064,read between the lines,1,figurative,"But reading between the lines , I think Clare needs money.’",audio/t0064.mp3,"लेकिन बातों के बीच का मतलब समझें, तो मुझे लगता है कि क्लेयर को पैसों की ज़रूरत है।",लीन|पंक्तियाँ|पढ़ना,"लेकिन लाइनों के बीच पढ़ते हुए , मुझे लगता है कि क्लेयर को पैसे की जरूरत है .","But reading between the lines , I think Clare needs money.’","लेकिन छिपे हुए अर्थ को समझें , मुझे लगता है कि क्लेयर को पैसे की जरूरत है .","But understand the hidden meaning , I think Clare needs money.’","लेकिन लाइनों के बीच पढ़ते हुए (छिपे हुए अर्थ को समझें) , मुझे लगता है कि क्लेयर को पैसे की जरूरत है।","But reading between the lines (understand the hidden meaning) , I think Clare needs money.’"
t0065,see eye to eye,1,figurative,My pastor and I do n't see eye to eye on the question of the literal interpretation of the bible .,audio/t0065.mp3,मेरे पादरी और मेरी बाइबिल की शाब्दिक व्याख्या के मुद्दे पर राय एक जैसी नहीं है।,आँख|देखें,मेरे पादरी और मैं बाइबल की शाब्दिक व्याख्या के सवाल पर एक साथ नहीं देखते हैं .,My pastor and I do n't see eye to eye on the question of the literal interpretation of the bible .,मेरे पादरी और मैं बाइबल की शाब्दिक व्याख्या के सवाल पर पूरी तरह से सहमत नहीं हैं .,My pastor and I do n't agree completely on the question of the literal interpretation of the bible .,मेरे पादरी और मैं बाइबल की शाब्दिक व्याख्या के सवाल पर पूरी तरह से सहमत नहीं हैं .,My pastor and I do n't see eye to eye (agree completely) on the question of the literal interpretation of the bible .
t0066,twist someone's arm,1,figurative,"So me Dad twists his arm a bit , like .",audio/t0066.mp3,तो मेरे पिताजी ने उसे थोड़ा मनाने की कोशिश की।,हाथ|झुकना,"तो मेरे पिताजी अपने हाथ को थोड़ा घुमाता है , जैसे .","So me Dad twists his arm a bit , like .","तो मेरे पिताजी अपने हाथ को थोड़ा घुमाता है , जैसे .","So me Dad twists his arm a bit , like .","तो मेरे पिताजी अपने हाथ को थोड़ा घुमाता है , जैसे .","So me Dad twists his arm a bit , like ."
t0067,over the moon,1,figurative,Her clients would be over the moon at the accommodation in this particular hotel .,audio/t0067.mp3,उस होटल की व्यवस्था देखकर उसके ग्राहक खुशी से झूम उठेंगे।,चंद्रमा,उसके ग्राहक इस विशेष होटल में आवास पर चंद्रमा पर होंगे .,Her clients would be over the moon at the accommodation in this particular hotel .,उसके ग्राहक इस विशेष होटल में रहने से बेहद खुश होंगे .,Her clients would be extremely happy at the accommodation in this particular hotel .,उसके ग्राहक इस विशेष होटल में रहने वाले अतिथि से बहुत खुश होंगे .,Her clients would be over the moon (extremely happy) at the accommodation in this particular hotel .
t0068,throw in the towel,1,figurative,They threw in the towel after police brought a parish priest to the scene near Dolly 's Brae .,audio/t0068.mp3,"पुलिस जब एक पादरी को घटनास्थल पर ले आई, तो उन्होंने हार मान ली।",फेंकना|तौलिया,उन्होंने टॉवेल फेंक दिया जब पुलिस ने डॉली के ब्री के पास घटनास्थल पर एक पैरिश पादरी को लाया .,They threw in the towel after police brought a parish priest to the scene near Dolly 's Brae .,वे डॉली के ब्री के पास घटनास्थल पर एक पादरी को लाने के बाद हार मानने लगे .,They give up after police brought a parish priest to the scene near Dolly 's Brae .,उन्होंने टॉवेल (उपसमर्पण) फेंक दिया जब पुलिस ने डॉली के ब्री के पास घटनास्थल पर एक पैरिश पादरी को लाया .,They threw in the towel (give up) after police brought a parish priest to the scene near Dolly 's Brae .
t0069,in a nutshell,1,figurative,"That is today ’s Europe in a nutshell , with America not far behind .",audio/t0069.mp3,"संक्षेप में कहें तो, आज का यूरोप ऐसा ही है, और अमेरिका भी उससे बहुत पीछे नहीं है।",संक्षिप्त,"यह आज का यूरोप है , संक्षेप में , अमेरिका के साथ बहुत पीछे नहीं है .","That is today ’s Europe in a nutshell , with America not far behind .","संक्षेप में , यह आज का यूरोप है , अमेरिका बहुत पीछे नहीं है .","That is today ’s Europe in summary , with America not far behind .","यह आज का यूरोप है (संक्षेप में) , अमेरिका बहुत पीछे नहीं है .","That is today ’s Europe in a nutshell (in summary) , with America not far behind ."
t0070,off the hook,1,figurative,"But whether she had been right or wrong , Hugo had been allowed off the hook .",audio/t0070.mp3,"चाहे वह सही रही हो या गलत, ह्यूगो को इस ज़िम्मेदारी से बचा लिया गया।",हुक,"लेकिन चाहे वह सही हो या गलत , ह्यूगो को हुक से छूटने की अनुमति दी गई थी .","But whether she had been right or wrong , Hugo had been allowed off the hook .","लेकिन चाहे वह सही हो या गलत , ह्यूगो को अब मुसीबतों में नहीं होने दिया गया था .","But whether she had been right or wrong , Hugo had been allowed no longer in trouble .","लेकिन चाहे वह सही हो या गलत , ह्यूगो को गुंडा से मुक्त कर दिया गया था (अब मुसीबत में नहीं) ।","But whether she had been right or wrong , Hugo had been allowed off the hook (no longer in trouble) ."
t0071,turn a blind eye,1,figurative,"Until then , police practice involved turning a blind eye to minor breaches of public decency rather than embarking on lengthy prosecutions .",audio/t0071.mp3,"उस समय तक पुलिस छोटे-मोटे सार्वजनिक शालीनता के उल्लंघनों को अक्सर अनदेखा कर देती थी, बजाय लंबे मुकदमे चलाने के।",अंधा|आँख|घुमा,"तब तक पुलिस की प्रथा में सार्वजनिक अनुष्ठान के मामूली उल्लंघन के लिए आंख बंद करना शामिल था , लंबे समय तक मुकदमेबाजी करने के बजाय .","Until then , police practice involved turning a blind eye to minor breaches of public decency rather than embarking on lengthy prosecutions .","तब तक , पुलिस अभ्यास में सार्वजनिक सभ्यता के मामूली उल्लंघन को जानबूझकर अनदेखा करना शामिल था , बजाय लंबे समय तक मुकदमेबाजी करने के .","Until then , police practice involved deliberately ignore to minor breaches of public decency rather than embarking on lengthy prosecutions .","तब तक पुलिस की प्रथा में सार्वजनिक अनुष्ठान के मामूली उल्लंघन के लिए आंख बंद करना (जानबूझकर अनदेखा करना) शामिल था , बजाय लंबे समय तक मुकदमेबाजी करने के लिए ।","Until then , police practice involved turning a blind eye (deliberately ignore) to minor breaches of public decency rather than embarking on lengthy prosecutions ."
t0072,twist someone's arm,1,figurative,Twist your arm .,audio/t0072.mp3,ज़रा हाथ तो मरोड़ो।,झुकना,अपनी बांह घुमाओ .,Twist your arm .,अपनी बांह घुमाओ .,Twist your arm .,अपनी बांह घुमाओ .,Twist your arm .
t0073,out of the blue,1,figurative,News of King George 's death came out of the blue .,audio/t0073.mp3,राजा जॉर्ज की मृत्यु का समाचार बिल्कुल अचानक आया।,नीला,राजा जॉर्ज की मृत्यु की खबर अचानक आई .,News of King George 's death came out of the blue .,राजा जॉर्ज की मृत्यु की खबर अचानक आई .,News of King George 's death came unexpectedly .,राजा जॉर्ज की मृत्यु की खबर अचानक (अपेक्षित रूप से) आई .,News of King George 's death came out of the blue (unexpectedly) .
t0074,miss the boat,1,figurative,It 's got ta be a good thing if you miss it bad enough .,audio/t0074.mp3,"अगर तुम यह मौका खो दोगे, तो यह तुम्हारे लिए अच्छा नहीं होगा।",नाव|मिसा|मिस,यह एक अच्छी बात है अगर आप इसे बहुत ज्यादा याद करते हैं .,It 's got ta be a good thing if you miss it bad enough .,यह एक अच्छी बात है अगर आप इसे बहुत ज्यादा याद करते हैं .,It 's got ta be a good thing if you miss it bad enough .,यह एक अच्छी बात है अगर आप इसे बहुत ज्यादा याद करते हैं .,It 's got ta be a good thing if you miss it bad enough .
t0075,out of the blue,1,figurative,Out of the blue he said : ' I only wish she could still be alive to enjoy it .,audio/t0075.mp3,"अचानक उसने कहा, ""काश वह आज यह सब देखने के लिए जीवित होती।""",नीला,"अचानक उसने कहा , ' मैं तो बस चाहता हूँ कि वह अभी भी जी रही हो और इसका आनंद ले सके .",Out of the blue he said : ' I only wish she could still be alive to enjoy it .,"अचानक उसने कहा , ' मैं तो बस चाहता हूँ कि वह अभी भी ज़िंदा हो और इसका आनंद ले सके .",unexpectedly he said : ' I only wish she could still be alive to enjoy it .,"और अचानक उसने कहा , "" मैं तो चाहता हूँ कि वह ज़िन्दा हो और इसका आनंद ले सके .",Out of the blue (unexpectedly) he said : ' I only wish she could still be alive to enjoy it .
t0076,make ends meet,1,figurative,It was no wonder that the journal had no easy task making ends meet .,audio/t0076.mp3,कोई आश्चर्य नहीं कि उस पत्रिका के लिए गुज़ारा करना आसान नहीं था।,अंत|बनाने|मिलना,इसलिए यह कोई आश्चर्य की बात नहीं है कि दिनचर्या को अंत तक पहुंचाना आसान नहीं था .,It was no wonder that the journal had no easy task making ends meet .,इसलिए यह कोई आश्चर्य की बात नहीं है कि डायरी के लिए जीने के लिए पर्याप्त धन होना आसान काम नहीं था .,It was no wonder that the journal had no easy task have just enough money to live .,"यह कोई आश्चर्य की बात नहीं है कि पत्रिका के पास जीवन के लिए पर्याप्त धन है (अर्थात , जीवन के लिए पर्याप्त धन) को पूरा करना आसान काम नहीं था ।",It was no wonder that the journal had no easy task making ends meet (have just enough money to live) .
t0077,face the music,1,figurative,"Therefore it was Adam 's duty to come home and face the music , even though this might be no more than a short blast on a tin whistle .",audio/t0077.mp3,"इसलिए आदम का कर्तव्य था कि वह घर लौटकर परिणामों का सामना करे, चाहे उसे केवल थोड़ी-सी डाँट ही क्यों न सुननी पड़े।",चेहरा|संगीत,"इसलिए घर आकर संगीत का सामना करना आदम का कर्तव्य था , भले ही यह केवल एक टिन व्हिस्ट पर एक छोटा सा विस्फोट हो .","Therefore it was Adam 's duty to come home and face the music , even though this might be no more than a short blast on a tin whistle .","इसलिए आदम का कर्तव्य था कि वह घर आकर इसके परिणामों को स्वीकार करे , भले ही यह केवल एक छोटी सी सी सी आवाज हो .","Therefore it was Adam 's duty to come home and accept the consequences , even though this might be no more than a short blast on a tin whistle .","इसलिए आदम का कर्तव्य था कि वह घर आकर संगीत का सामना करे (परिणामों को स्वीकार करें), भले ही यह केवल एक टिन सिलाई पर एक छोटी सी धड़कन हो .","Therefore it was Adam 's duty to come home and face the music (accept the consequences) , even though this might be no more than a short blast on a tin whistle ."
t0078,off the hook,1,figurative,Mr Robson told Cleveland Coroner Michael Sheffield the telephone was off the hook and things were scattered around the room .,audio/t0078.mp3,श्री रॉब्सन ने कोरोनर माइकल शेफ़ील्ड को बताया कि टेलीफ़ोन का रिसीवर अपनी जगह से उठा हुआ था और कमरे में सामान बिखरा पड़ा था।,हुक,श्री रॉबसन ने क्लिवलैंड के coroner माइकल शेफील्ड को बताया कि फोन बंद था और कमरे में चीजें बिखरी हुई थीं .,Mr Robson told Cleveland Coroner Michael Sheffield the telephone was off the hook and things were scattered around the room .,श्री रॉबसन ने क्लिवलैंड के कोरोनर माइकल शेफील्ड को बताया कि फोन अब परेशानी में नहीं था और कमरे में चीजें बिखरी हुई थीं .,Mr Robson told Cleveland Coroner Michael Sheffield the telephone was no longer in trouble and things were scattered around the room .,श्री रॉबसन ने क्लिवलैंड के कोरोनर माइकल शेफील्ड को बताया कि फोन बंद था (अब मुसीबत में नहीं) और कमरे में चीजें बिखरी हुई थीं .,Mr Robson told Cleveland Coroner Michael Sheffield the telephone was off the hook (no longer in trouble) and things were scattered around the room .
t0079,twist someone's arm,1,figurative,"He went on to admit that IMP 's golden girl , as the Press have dubbed you , is a brilliant young chemist in her own right!’",audio/t0079.mp3,उसने आगे स्वीकार किया कि IMP की तथाकथित 'गोल्डन गर्ल' वास्तव में अपने दम पर एक शानदार युवा रसायन वैज्ञानिक है।,हाथ|झुकना,"उन्होंने स्वीकार किया कि आईएमपी की गोल्डन गर्ल, जैसा कि प्रेस ने आपको नाम दिया है, एक प्रतिभाशाली युवा रसायनज्ञ है!","He went on to admit that IMP 's golden girl , as the Press have dubbed you , is a brilliant young chemist in her own right!’","उन्होंने स्वीकार किया कि आईएमपी की गोल्डन गर्ल, जैसा कि प्रेस ने आपको नाम दिया है, एक प्रतिभाशाली युवा रसायनज्ञ है!","He went on to admit that IMP 's golden girl , as the Press have dubbed you , is a brilliant young chemist in her own right!’","उन्होंने स्वीकार किया कि आईएमपी की गोल्डन गर्ल, जैसा कि प्रेस ने आपको नाम दिया है, एक प्रतिभाशाली युवा रसायनज्ञ है!","He went on to admit that IMP 's golden girl , as the Press have dubbed you , is a brilliant young chemist in her own right!’"
t0080,sit on the fence,1,figurative,"I think I need to say on that , that that should not be taken as the county council sitting on the fence between two opposing er extremes .",audio/t0080.mp3,मुझे लगता है कि मुझे यह कहना चाहिए कि इसे काउंटी परिषद का दोनों पक्षों के बीच तटस्थ रहना नहीं समझा जाना चाहिए।,बाड़|बैठो,"मुझे लगता है कि मुझे इस पर कहना है , कि यह नहीं माना जाना चाहिए कि काउंटी काउंसिल दो विपरीत चरम के बीच बाड़ पर बैठा है .","I think I need to say on that , that that should not be taken as the county council sitting on the fence between two opposing er extremes .","मुझे लगता है कि मुझे इस पर कहना है , कि यह नहीं माना जाना चाहिए कि काउंटी काउंसिल दो विपरीत चरम के बीच बाड़ पर बैठा है .","I think I need to say on that , that that should not be taken as the county council sitting on the fence between two opposing er extremes .","मुझे लगता है कि मुझे इस पर कहना है , कि यह नहीं माना जाना चाहिए कि काउंटी काउंसिल दो विपरीत चरम के बीच बाड़ पर बैठा है .","I think I need to say on that , that that should not be taken as the county council sitting on the fence between two opposing er extremes ."
t0081,read between the lines,1,figurative,"You will use your powers of anticipation and imagination to read between the lines , to understand message and meaning .",audio/t0081.mp3,आप अपनी दूरदर्शिता और कल्पनाशक्ति का उपयोग करके बातों के बीच का मतलब समझेंगे और वास्तविक संदेश को जान पाएँगे।,लीन|पंक्तियाँ|पढ़ना,"आप अपनी कल्पना और अनुमान की शक्ति का उपयोग लाइनों के बीच पढ़ने के लिए करेंगे , संदेश और अर्थ को समझने के लिए .","You will use your powers of anticipation and imagination to read between the lines , to understand message and meaning .","आप अपने पूर्वानुमान और कल्पना शक्ति का उपयोग गुप्त अर्थ को समझने के लिए करेंगे , संदेश और अर्थ को समझने के लिए .","You will use your powers of anticipation and imagination to understand the hidden meaning , to understand message and meaning .","आप अपनी कल्पना और अनुमान की शक्ति का उपयोग लाइनों के बीच पढ़ने के लिए करेंगे (छिपे हुए अर्थ को समझने के लिए), संदेश और अर्थ को समझने के लिए .","You will use your powers of anticipation and imagination to read between the lines (understand the hidden meaning) , to understand message and meaning ."
t0082,on the same page,1,figurative,"The second reason he expressed thus , on the same page :",audio/t0082.mp3,दूसरा कारण उसने उसी पृष्ठ पर इस प्रकार व्यक्त किया।,समान,उसी पृष्ठ पर उन्होंने दूसरा कारण इस प्रकार व्यक्त कियाः,"The second reason he expressed thus , on the same page :",उसी पृष्ठ पर उन्होंने दूसरा कारण इस प्रकार व्यक्त कियाः,"The second reason he expressed thus , on the same page :",उसी पृष्ठ पर उन्होंने दूसरा कारण इस प्रकार व्यक्त कियाः,"The second reason he expressed thus , on the same page :"
t0083,throw in the towel,1,figurative,"Nevertheless , there is just as much of a chance that you will win through your difficulties as there is of reaching the point of throwing in the towel .",audio/t0083.mp3,"फिर भी, जितनी संभावना कठिनाइयों पर विजय पाने की है, उतनी ही हार मान लेने की भी है।",फेंकना|तौलिया,"फिर भी , आप अपनी कठिनाइयों को जीतने की संभावना उतना ही है जितना कि तौलिया फेंकने के बिंदु तक पहुंचने की संभावना है .","Nevertheless , there is just as much of a chance that you will win through your difficulties as there is of reaching the point of throwing in the towel .","फिर भी , आप अपनी कठिनाइयों को जितने ही जीतेंगे , उतने ही हारने की संभावना है .","Nevertheless , there is just as much of a chance that you will win through your difficulties as there is of reaching the point of give up .","फिर भी , आप अपनी कठिनाइयों को जीतने की संभावना उतना ही है जितना कि तौलिया फेंकने के बिंदु तक पहुंचने की संभावना है (उपसमर्पण) ।","Nevertheless , there is just as much of a chance that you will win through your difficulties as there is of reaching the point of throwing in the towel (give up) ."
t0084,in a nutshell,1,figurative,That was the game in a nutshell .,audio/t0084.mp3,"संक्षेप में, यही पूरा खेल था।",संक्षिप्त,"संक्षेप में , यह खेल था .",That was the game in a nutshell .,"संक्षेप में , यह खेल था .",That was the game in summary .,"संक्षेप में , यह खेल था .",That was the game in a nutshell (in summary) .
t0085,jump on the bandwagon,1,figurative,"There was no attempt to jump on the bandwagon of the more flamboyant recruitment advertisements for commission paid saleswork , for example : "" I 'm Martin .",audio/t0085.mp3,"कमीशन आधारित बिक्री की नौकरियों के लिए दिए जाने वाले चकाचौंध भरे भर्ती विज्ञापनों के चलन में शामिल होने की कोई कोशिश नहीं की गई। उदाहरण के लिए: ""मैं मार्टिन हूँ।""",बैंडवागन|कूदना,"कमिशन भुगतान बिक्री के लिए अधिक धूमधाम से भर्ती विज्ञापनों की गाड़ी पर कूदने का कोई प्रयास नहीं था , उदाहरण के लिएः "" मैं मार्टिन हूँ .","There was no attempt to jump on the bandwagon of the more flamboyant recruitment advertisements for commission paid saleswork , for example : "" I 'm Martin .","कमीशन भुगतान बिक्री के लिए अधिक धूमधाम से भर्ती विज्ञापनों के लोकप्रिय प्रवृत्ति में शामिल होने का कोई प्रयास नहीं था , उदाहरण के लिएः "" मैं मार्टिन हूं .","There was no attempt to join a popular trend of the more flamboyant recruitment advertisements for commission paid saleswork , for example : "" I 'm Martin .","कमिशन भुगतान बिक्री के लिए अधिक धूमधाम से भर्ती विज्ञापनों के बैंडवागन पर कूदने का कोई प्रयास नहीं था (एक लोकप्रिय प्रवृत्ति में शामिल हों): "" मैं मार्टिन हूं .","There was no attempt to jump on the bandwagon (join a popular trend) of the more flamboyant recruitment advertisements for commission paid saleswork , for example : "" I 'm Martin ."
t0086,up in the air,1,figurative,"Mr Pavlychko , a poet turned politician , knows enough of both trades to leave that answer up in the air .",audio/t0086.mp3,"श्री पाव्लिचको, जो कवि से राजनेता बने हैं, इतना जानते हैं कि इस प्रश्न का उत्तर अभी अनिश्चित ही छोड़ते हैं।",हवा,"श्री पावलीचको , एक कवि जो राजनीतिज्ञ बन गया , दोनों व्यवसायों के बारे में पर्याप्त जानता है कि वह उत्तर हवा में छोड़ दे .","Mr Pavlychko , a poet turned politician , knows enough of both trades to leave that answer up in the air .","श्री पावलीचको , एक कवि जो राजनीतिज्ञ बन गया , दोनों व्यवसायों के बारे में पर्याप्त जानता है कि वह उत्तर अनिश्चित या अनिश्चित छोड़ दे .","Mr Pavlychko , a poet turned politician , knows enough of both trades to leave that answer undecided or uncertain .","श्री पावलीचको , एक कवि जो राजनीतिज्ञ बन गया , दोनों व्यवसायों के बारे में पर्याप्त जानता है कि वह उत्तर हवा में छोड़ दे (अनिश्चित या अनिश्चित) ।","Mr Pavlychko , a poet turned politician , knows enough of both trades to leave that answer up in the air (undecided or uncertain) ."
t0087,pull someone's leg,1,figurative,Are you pulling my leg ?,audio/t0087.mp3,क्या तुम मेरा मज़ाक उड़ा रहे हो?,पैर|खींचें,क्या तुम मेरे पैर को खींच रहे हो ?,Are you pulling my leg ?,क्या तुम मुझे छेड़ रहे हो ?,Are you teasing me ?,क्या तुम मेरे पैर को खींच रहे हो ?,Are you pulling my leg (teasing me) ?
t0088,over the moon,1,figurative,George Cole is over the moon .,audio/t0088.mp3,जॉर्ज को तो जैसे खुशी का ठिकाना ही नहीं रहा।,चंद्रमा,जॉर्ज कोल चंद्रमा पर है .,George Cole is over the moon .,जॉर्ज कोल बेहद खुश है .,George Cole is extremely happy .,जॉर्ज कोल चंद्रमा से ऊपर है (अत्यंत खुश) ।,George Cole is over the moon (extremely happy) .
t0089,steal someone's thunder,1,figurative,"You would n't dream of stealing a superior officer 's thunder , would you ? '",audio/t0089.mp3,"तुम किसी वरिष्ठ अधिकारी की सारी वाहवाही अपने नाम करने की सोच भी नहीं सकते, है न?",गूंज,"तुम एक वरिष्ठ अधिकारी की गर्जन चुराने का सपना नहीं देखोगे , क्या तुम ?","You would n't dream of stealing a superior officer 's thunder , would you ? '","तुम एक वरिष्ठ अधिकारी की गर्जन चुराने का सपना नहीं देखोगे , क्या तुम ?","You would n't dream of stealing a superior officer 's thunder , would you ? '","तुम एक वरिष्ठ अधिकारी की गर्जन चुराने का सपना नहीं देखोगे , क्या तुम ?","You would n't dream of stealing a superior officer 's thunder , would you ? '"
t0090,in a nutshell,1,figurative,In a nutshell : young country bumpkin black cop is drafted in to defuse the tension on a London estate and discovers who 's really doing the dirty work .,audio/t0090.mp3,"संक्षेप में, एक भोला-भाला ग्रामीण अश्वेत पुलिसकर्मी लंदन की एक बस्ती में तनाव कम करने भेजा जाता है और पता लगाता है कि असली गड़बड़ी कौन कर रहा है।",संक्षिप्त,संक्षेप मेंः एक युवा ग्रामीण बुलबुला काला पुलिस को लंदन की संपत्ति पर तनाव को कम करने के लिए भर्ती किया जाता है और पता चलता है कि वास्तव में कौन गंदगी काम कर रहा है .,In a nutshell : young country bumpkin black cop is drafted in to defuse the tension on a London estate and discovers who 's really doing the dirty work .,संक्षेप मेंः एक युवा देश के बुबकिन काले पुलिसकर्मी को लंदन की संपत्ति पर तनाव को कम करने के लिए भर्ती किया जाता है और पता चलता है कि वास्तव में कौन गंदगी का काम कर रहा है .,in summary : young country bumpkin black cop is drafted in to defuse the tension on a London estate and discovers who 's really doing the dirty work .,संक्षेप में (संक्षेप में): एक युवा ग्रामीण बुम्किन ब्लैक पुलिस को लंदन की संपत्ति पर तनाव को कम करने के लिए भर्ती किया जाता है और पता चलता है कि वास्तव में कौन गन्दा काम कर रहा है .,In a nutshell (in summary) : young country bumpkin black cop is drafted in to defuse the tension on a London estate and discovers who 's really doing the dirty work .
